person_id,name,hit_entity,bucket,nationality,sex,highest_degree,field_of_study,institution,expertise,basis,source
p121,Rodney Brooks,"iRobot Corporation (IS Robotics, Inc.)",hardware_deeptech,AU,M,PhD,Computer Science,Stanford University,robotics,notes,https://en.wikipedia.org/wiki/Rodney_Brooks
p122,Zhu Gongshan,"Taicang Poly Xiexin Thermal Power Co., Ltd.",hardware_deeptech,CN,M,Associate,Electrical Automation,Nanjing Electric Power College,cogeneration,notes,https://www.forbes.com/profile/zhu-gongshan/
p123,Austin Russell,Luminar Technologies,hardware_deeptech,US,M,HighSchool,unknown,St. Margaret's Episcopal School,lidar,notes,https://en.wikipedia.org/wiki/Austin_Russell_(entrepreneur)
p124,Xu Hang,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd. (Mindray Medical International)",healthcare_biotech,CN,M,Masters,Biomedical Engineering,Tsinghua University,medical devices,notes,https://www.sec.gov/Archives/edgar/data/1373060/000114554906001273/h00529fv1.htm
p125,Patrick Soon-Shiong,"American Pharmaceutical Partners, Inc.",healthcare_biotech,US,M,MD,Medicine,University of the Witwatersrand,injectable pharmaceuticals,notes,https://en.wikipedia.org/wiki/Patrick_Soon-Shiong
p126,Sun Piaoyang,,healthcare_biotech,CN,M,Bachelors,Pharmaceutical Chemistry,China Pharmaceutical University,pharmaceuticals,notes,https://zh.wikipedia.org/wiki/%E5%AD%99%E9%A3%98%E6%89%AC
p127,Claudia Goldin,Nobel Prize in Economic Sciences,science_research,US,F,PhD,Economics,University of Chicago,labor economics,notes,https://en.wikipedia.org/wiki/Claudia_Goldin
p128,Barbara Liskov,ACM A.M. Turing Award,science_research,US,F,PhD,Computer Science,Stanford University,programming languages,notes,https://en.wikipedia.org/wiki/Barbara_Liskov
p129,Caucher Birkar,Fields Medal,science_research,GB,M,PhD,Algebraic Geometry,University of Nottingham,birational geometry,notes,https://en.wikipedia.org/wiki/Caucher_Birkar
p130,Kirsten Green,"Forerunner Partners III, L.P.",investors_finance,US,F,Bachelors,Business Economics,UCLA,consumer venture capital,notes,
p131,Ann Miura-Ko,"Floodgate Fund III, L.P.",investors_finance,US,F,PhD,Information Security,Stanford University,seed-stage venture capital,notes,https://floodgate.com/team/ann-miura-ko
