bucket_order,name,bucket,source_list,country_primary,gender,why_selected
1,Zach Sims,software_internet,Y Combinator Top Companies,US,M,"Shape: consumer-edtech founder who started the company at university age straight out of a YC batch, so the education-to-hit clock has almost no employment segment in it. Membership: https://www.ycombinator.com/companies/codecademy (""The leading online learning platform for technical skills. Founded in 2011 by Zach Sims, Codecademy has 225 employees based in New York City."")"
2,Larry Page,software_internet,Forbes World's Billionaires (self-made),US,M,"Shape: PhD-track researcher whose dissertation project became the venture, testing a hit that grew directly out of graduate research rather than out of a domain job. Membership: https://www.forbes.com/profile/larry-page/ (""Larry Page is #2 on Forbes' 2026 Billionaires list."")"
3,Ilya Volodarsky,software_internet,Y Combinator Top Companies,US,M,"Shape: technical co-founder of a developer-infrastructure company founded straight out of university, testing the short-apprenticeship engineer path into a B2B data product. Membership: https://www.ycombinator.com/companies/segment (""Software and APIs to collect, clean, and control customer data. Founded in 2011 by Ilya Volodarsky, Segment has 550 employees based in San Francisco."")"
4,Jeff Bezos,software_internet,Forbes World's Billionaires (self-made),US,M,"Shape: finance-to-internet switcher who spent roughly eight years in quantitative trading before founding an online retailer, stressing a3_first_domain_job where the prior domain is unrelated. Membership: https://www.forbes.com/profile/jeff-bezos/ (""Jeff Bezos is #4 on Forbes' 2026 Billionaires list."")"
5,Neal O'Mara,software_internet,Y Combinator Top Companies,US,M,"Shape: non-CEO technical co-founder of a SaaS company that exited by acquisition, testing whether the clock reads the same for the founder who is not the public face. Membership: https://www.ycombinator.com/companies/hellosign (""eSignature software for small and mid-market businesses. Founded in by Neal O'Mara, HelloSign has 100 employees based in San Francisco."")"
6,Mark Zuckerberg,software_internet,Forbes World's Billionaires (self-made),US,M,"Shape: undergraduate dropout founder with zero prior employment, the extreme short end of the education-to-hit distribution and a useful lower bound for the bucket. Membership: https://www.forbes.com/profile/mark-zuckerberg/ (""Mark Zuckerberg is #5 on Forbes' 2026 Billionaires list."")"
7,Victor Ho,software_internet,Y Combinator Top Companies,US,M,"Shape: consultant-to-founder switcher who left McKinsey to build a small-business loyalty and payments platform, testing the management-consulting apprenticeship route into software. Membership: https://www.ycombinator.com/companies/fivestars (""Customer loyalty and payments platform for small businesses. Founded in 2010 by Matt Doka and Victor Ho, Fivestars has 201 employees based in San Francisco."")"
8,Larry Ellison,software_internet,Forbes World's Billionaires (self-made),US,M,"Shape: pre-1995 enterprise-software founder with no completed degree and roughly a decade of contract programming before founding, the era control this bucket is short of. Membership: https://www.forbes.com/profile/larry-ellison/ (""Larry Ellison is #6 on Forbes' 2026 Billionaires list."")"
9,Michael Nusimow,software_internet,Y Combinator Top Companies,US,M,"Shape: vertical-SaaS founder building for a regulated profession he had not worked in, testing how long a domain-outsider takes to reach scale in medical practice software. Membership: https://www.ycombinator.com/companies/drchrono (""The essential platform for modern medical practices and patients. Founded in 2009 by Daniel Kivatinos and Michael Nusimow, DrChrono has 150 employees based in San Francisco."")"
10,Zhang Yiming,software_internet,Hurun Rich List (China),CN,M,"Shape: serial Chinese internet founder whose fourth venture became the hit, testing whether earlier failed ventures count as apprenticeship in the education-to-hit clock. Membership: https://www.hurun.net/en-US/Rank/HsRankDetailsList?num=ODQWW2BI&search=&offset=0&limit=60 (""hs_Rank_Rich_Ranking"":2 ... ""hs_Character_Fullname_En"":""Zhang Yiming"" ... ""hs_Rank_Rich_ComName_En"":""ByteDance"" ... ""hs_Rank_Rich_Industry_En"":""Social Media"")"
11,Bo Lu,software_internet,Y Combinator Top Companies,US,M,"Shape: founder of a consumer fintech advisory service acquired by an incumbent, testing a corporate-engineering apprenticeship path and an acquisition-based exit. Membership: https://www.ycombinator.com/companies/futureadvisor (""The online financial management service for everyone. Founded in 2010 by Bo Lu, FutureAdvisor has 51 employees based in San Francisco."")"
12,Ma Huateng,software_internet,Hurun Rich List (China),CN,M,"Shape: engineering graduate who worked several years at a telecom paging company before co-founding a messaging portal, a pre-2000 Chinese internet founding with a real domain-job segment. Membership: https://www.hurun.net/en-US/Rank/HsRankDetailsList?num=ODQWW2BI&search=&offset=0&limit=60 (""hs_Rank_Rich_Ranking"":3 ... ""hs_Character_Fullname_En"":""Ma Huateng"" ... ""hs_Rank_Rich_ComName_En"":""Tencent"" ... ""hs_Rank_Rich_Industry_En"":""Gaming, Telecoms"")"
13,Huang Zheng,software_internet,Hurun Rich List (China),CN,M,"Shape: serial e-commerce founder whose later venture became the hit, testing a compressed second-career clock inside the Chinese internet. Membership: https://www.hurun.net/en-US/Rank/HsRankDetailsList?num=ODQWW2BI&search=&offset=0&limit=60 (""hs_Rank_Rich_Ranking"":7 ... ""hs_Character_Fullname_En"":""Huang Zheng"" ... ""hs_Rank_Rich_ComName_En"":""Pinduoduo"" ... ""hs_Rank_Rich_Industry_En"":""E-Commerce"")"
