person_id,name,hit_entity,bucket,nationality,sex,highest_degree,field_of_study,institution,expertise,basis,source
p61,William Ding,NetEase,software_internet,CN,M,Bachelors,Communication Technology,University of Electronic Science and Technology of China,online games,notes,https://ir.netease.com/management/william-ding
p62,Shiv Nadar,HCL (Hindustan Computers Limited),software_internet,IN,M,Bachelors,Electrical Engineering,PSG College of Technology,computer hardware,notes,https://en.wikipedia.org/wiki/Shiv_Nadar
p63,Harshil Mathur,Razorpay,software_internet,IN,M,Bachelors,unknown,IIT Roorkee,digital payments,notes,https://in.linkedin.com/in/harshilmathur
p64,Sid Sijbrandij,GitLab,software_internet,NL,M,Masters,Management Science,University of Twente,software collaboration,notes,https://storage.courtlistener.com/recap/gov.uscourts.cand.444595/gov.uscourts.cand.444595.1.0.pdf
p65,Chris Wanstrath,GitHub,software_internet,US,M,HighSchool,unknown,St. Xavier High School,code hosting,researched,https://en.wikipedia.org/wiki/Chris_Wanstrath
p66,Jeff Lawson,Twilio,software_internet,US,M,Bachelors,Computer Science,University of Michigan,communications APIs,notes,https://news.engin.umich.edu/2016/08/the-most-interesting-tech-ipo-of-the-year-was-founded-by-alums/
p67,Robin Zeng,Amperex Technology Limited (ATL),hardware_deeptech,HK,M,PhD,Physics,Chinese Academy of Sciences,lithium-ion batteries,notes,https://en.wikipedia.org/wiki/Robin_Zeng
p68,Robert Pera,Ubiquiti Networks,hardware_deeptech,US,M,Masters,unknown,UC San Diego,wireless networking,notes,https://en.wikipedia.org/wiki/Robert_Pera
p69,Terry Gou,Hon Hai (Foxconn),hardware_deeptech,TW,M,Bachelors,unknown,Taipei University of Marine Technology,electronics manufacturing,researched,https://en.wikipedia.org/wiki/Terry_Gou
p70,Donna Dubinsky,Palm Computing,hardware_deeptech,US,F,Masters,Business Administration,Harvard,handheld computing,notes,https://computerhistory.org/profile/donna-dubinsky/
p71,Radhakishan Damani,Avenue Supermarts (DMart),consumer_retail_industrial,IN,M,unknown,unknown,unknown,supermarket retail,unknown,
p72,Zhong Shanshan,Nongfu Spring,consumer_retail_industrial,CN,M,Associate,Chinese Language and Literature,Zhejiang Radio and Television University,bottled water,notes,https://zh.wikipedia.org/wiki/%E9%92%9F%E7%9D%92%E7%9D%92
p73,He Xiangjian,Midea,consumer_retail_industrial,CN,M,None,unknown,unknown,home appliances,notes,
p74,Dilip Shanghvi,Sun Pharmaceutical Industries,healthcare_biotech,IN,M,Bachelors,Commerce,University of Calcutta,generic pharmaceuticals,notes,https://www.bloomberg.com/billionaires/profiles/dilip-s-shanghvi/
p75,Jason Kelly,Ginkgo Bioworks,healthcare_biotech,US,M,PhD,Biological Engineering,MIT,synthetic biology,notes,https://openwetware.org/wiki/Jason_Kelly
p76,Trevor Martin,Mammoth Biosciences,healthcare_biotech,US,M,PhD,unknown,Stanford University,CRISPR diagnostics,researched,http://trevormmartin.com/
