bucket_order,name,bucket,source_list,country_primary,gender,why_selected
1,Alan J. Perlis,science_research,Turing Award,US,M,"Tests the prize equivalent at the very start of the Turing Award's enumeration: a 1950s-60s academic computer scientist whose recognition landed decades before the software industry existed, so the education-to-hit clock runs entirely inside universities. Membership: https://amturing.acm.org/byyear.cfm (""(1966) Perlis, Alan J *"" in the ACM ""CHRONOLOGICAL LISTING OF A.M. TURING AWARD WINNERS"")."
2,Maurice V. Wilkes,science_research,Turing Award,GB,M,"Second entry in the Turing Award's chronological listing and a non-US academic, tests whether a British pre-1970 computing career can be dated at all from the announcement year of the award. Membership: https://amturing.acm.org/byyear.cfm (""(1967) Wilkes, Maurice V.*"" in the ACM ""CHRONOLOGICAL LISTING OF A.M. TURING AWARD WINNERS"")."
3,Lars Valerian Ahlfors,science_research,Fields Medal,FI,M,"First entry in the Fields Medal's enumeration and the earliest hit year available anywhere in this bucket, testing whether a 1930s European mathematician's education-to-prize clock can be reconstructed from the announcement of the inaugural award. Membership: https://www.mathunion.org/imu-awards/fields-medal (Fields Medal laureates listing, year ""1936"": ""Lars Valerian Ahlfors"")."
4,Laurent Schwartz,science_research,Fields Medal,FR,M,"Next unused year in the Fields Medal listing after the inaugural pair, a French mathematician whose recognition arrived in the first post-war award round, testing the prize equivalent on a career interrupted by war rather than by employment. Membership: https://www.mathunion.org/imu-awards/fields-medal (Fields Medal laureates listing, year ""1950"": ""Laurent Schwartz"")."
5,Ragnar Frisch,science_research,Nobel Prizes (Economics),NO,M,"First laureate of the least-used Nobel category, tests the announcement-year rule on a prize created decades after the work it recognised, giving one of the longest education-to-hit clocks in the study. Taken without his co-laureate Jan Tinbergen, who shared the same citation. Membership: https://www.nobelprize.org/prizes/economic-sciences/1969/summary/ (""The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1969 was awarded jointly to Ragnar Frisch and Jan Tinbergen 'for having developed and applied dynamic models for the analysis of economic processes'"")."
6,Edward Witten,science_research,Breakthrough Prize,US,M,"First name in the published list of the Breakthrough Prize's inaugural 2012 Fundamental Physics cohort, testing the announcement-year rule on a prize whose first round recognised work done decades earlier, and a theoretical physicist with no commercial venture at any point. Membership: https://breakthroughprize.org/Laureates/1/P1/Y2012 (""The Breakthrough Prize in Fundamental Physics was founded in 2012 with the naming of nine inaugural laureates"" followed by the laureate list beginning ""Edward Witten"")."
1,Thomas Frist Jr.,healthcare_biotech,Forbes World's Billionaires (self-made),US,M,"Highest-ranked unused self-made healthcare entry on the 2026 list. Tests rev10 on a physician-turned-operator: a former Air Force flight surgeon who co-founded Hospital Corp. of America (now HCA Healthcare, which operates 190 hospitals and around 2,400 sites of care) with his father in 1968, so the venture is a capital-heavy hospital chain rather than a product company, and the crossing is pre-1995. Membership: https://www.forbes.com/profile/thomas-frist-jr/ (""Thomas Frist, Jr. & family"", listed under ""The World's Billionaires"" as ""Billionaires 2026"",""rank"":48)."
2,Chung Yong-ji,healthcare_biotech,Forbes World's Billionaires (self-made),KR,M,"Next unused self-made healthcare entry in the 2026 published order. Tests rev10 on a 2000s Korean biotech: founder and CEO of Caregen, best known for its anti-wrinkle treatment and diabetes drugs, founded 2001 and listed on Kosdaq in 2015, so a Korean-language sourcing problem and a possible bounded crossing between founding and listing. Membership: https://www.forbes.com/profile/chung-yong-ji/ (""Chung Yong-ji"", listed under ""The World's Billionaires"" as ""Billionaires 2026"",""rank"":268)."
3,Alyson Friedensohn,healthcare_biotech,Fortune 40 Under 40,US,F,"First unused Health-industry entry in the alphabetical published order of Fortune's 2019 list. Tests rev10 on a very young B2B health-services company rather than a drug or device maker: Modern Health, a mental health startup selling holistic emotional health services to corporations, was only at Series A when listed, so the crossing is recent and the company is private throughout. Taken without her joint-entry co-founder Erica Johnson. Membership: https://fortune.com/ranking/40-under-40/2019/alyson-friedensohn-and-erica-johnson/ (""Alyson Friedensohn and Erica Johnson"", ""Industry: Health"", ""Modern Health, a mental health startup from Y Combinator alums Friedensohn and Johnson"")."
4,Murali Divi,healthcare_biotech,Hurun Rich List (India),IN,M,"First unused pharmaceutical entry by rank on the Hurun India Rich List 2022 after the two already in the study. Tests rev10 on an Indian API and custom-synthesis manufacturer rather than a branded drug maker, a founder who worked as a pharmacist and in US drug companies before starting Divi's Laboratories, so there is a long employment apprenticeship before the venture. Membership: https://www.hurun.net/en-US/Rank/HsRankDetailsList?num=MIJ7F3W6&search=Murali%20Divi&offset=0&limit=5 (the data listing behind ""Hurun India Rich List 2022"": ""hs_Rank_India_Ranking"":20, ""hs_Rank_India_ChaName_En"":""Murali Divi"", ""hs_Rank_India_ComName_En"":""Divi's Laboratories"", ""hs_Rank_India_Industry_En"":""Pharmaceuticals"")."
5,Zhu Yi,healthcare_biotech,Hurun Rich List (China),CN,M,"First unused pharmaceutical entry by rank on the Hurun China Rich List 2025 once the Hansoh, Hengrui and Mindray people already in the study are excluded. Tests rev10 on an academic-turned-founder: he taught immunology and microbiology before starting Biokin Pharmaceutical, a developer of anesthesia injections, cancer drugs and traditional Chinese medicine treatments that only listed in Shanghai in 2023, so the revenue crossing long predates any disclosure and will likely need bounding. Membership: https://www.hurun.net/en-US/Rank/HsRankDetailsList?num=ODQWW2BI&search=Zhu%20Yi&offset=0&limit=5 (the data listing behind ""Hurun China Rich List 2025"": ""hs_Rank_Rich_Ranking"":30, ""hs_Rank_Rich_ChaName_En"":""Zhu Yi"", ""hs_Rank_Rich_ComName_En"":""Biokin Pharmaceutical"", ""hs_Rank_Rich_Industry_En"":""Pharmaceuticals"")."
