person_id,name,bucket,source_list,country_primary,gender,why_selected
p211,Alex Solomon,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 14 of 91 (PagerDuty). Skipped: 1 PlanGrid (rejection 1, Tracy Young / PlanGrid entity), 2 Gusto (r1), 3 Matterport (r1 and r3 hardware), 4 Amplitude (r1), 5 Sendwave (r1), 6 Codecademy (r1), 7 Segment (r1), 8 HelloSign (r1), 9 Fivestars (r1), 10 GOAT Group (r1 and r3 consumer_retail), 11 DrChrono (r1), 12 Presto (r3: company tags ""Food Service Robots & Machines"",""Restaurant Tech""; long_description ""advanced hw/sw solutions"" for restaurant automation — hardware/robots, not software_internet), 13 FutureAdvisor (r1, Bo Lu). First-listed founder on the company page. Membership: https://www.ycombinator.com/companies/pagerduty (""Real-time visibility into critical apps and services all in one place. Founded in  by Alex Solomon, PagerDuty has 950 employees based in San Francisco.""; founders JSON ""full_name"":""Alex Solomon"",""title"":""Founder/CTO""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 14, ""PagerDuty""). Gender: YC/Atolio coverage of the same person (""Today he is CTO"")."
p212,Pete Koomen,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 15 of 91 (Optimizely). First unused software_internet entry after p211. First-listed founder on the company page. Membership: https://www.ycombinator.com/companies/optimizely (""The first all-in-one operating system for marketing. Founded in  by Pete Koomen, Optimizely has 1500 employees based in San Francisco.""; founders JSON ""full_name"":""Pete Koomen"",""title"":""Founder""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 15, ""Optimizely""). Gender from Wikipedia Optimizely (""founded in 2010 by Dan Siroker and Pete Koomen"") plus Bloomberg headline ""Pete Koomen: The Quest for More Clicks"" naming him; recorded M."
p213,Patrick Collison,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 16 of 91 (Stripe). First-listed founder in the company-page founders array (Founder/CEO). Not skipped for fame. Membership: https://www.ycombinator.com/companies/stripe (founders JSON first entry ""full_name"":""Patrick Collison"",""title"":""Founder/CEO""; page also: ""Economic infrastructure for the internet. Founded in 2009 by John Collison and Patrick Collison, Stripe has 7000 employees based in San Francisco.""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 16, ""Stripe""). Gender: Wikipedia REST summary ""He is the chief executive officer of Stripe"". Career primarily Stripe in San Francisco (US)."
p214,Bill Clerico,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 17 of 91 (WePay). First-listed founder on the company page. Membership: https://www.ycombinator.com/companies/wepay (""Payments for platform businesses. Founded in 2008 by Bill Clerico, WePay has 400 employees based in San Francisco.""; founders JSON ""full_name"":""Bill Clerico"",""title"":""Founder/CEO""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 17, ""WePay""). Gender M: Forbes 13 Aug 2019 ""He Left His Corporate Job At 22 To Build A Business That JPMorgan Acquired For $400 Million"" (https://www.forbes.com/sites/alejandrocremades/2019/08/13/he-left-his-corporate-job-at-22-to-build-a-business-that-jpmorgan-acquired-for-400-million/) names Bill Clerico and uses he/his throughout."
p215,Suhail Doshi,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 18 of 91 (Mixpanel). Meta description does not name a founder; the company page founders array does. First-listed founder. Membership: https://www.ycombinator.com/companies/mixpanel (founders JSON first entry ""full_name"":""Suhail Doshi"",""title"":""Founder/CEO""; founder_bio ""Founder & CEO @ Mixpanel, Now: Particle""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 18, ""Mixpanel""). Wikipedia Mixpanel: ""Mixpanel was founded by Suhail Doshi and Tim Trefren in 2009"". Gender M from Wikipedia naming him as founder alongside Tim Trefren and the Founder/CEO title."
p216,Brian Chesky,software_internet,Y Combinator Top Companies,US,M,"YC Top Companies published order, entry 19 of 91 (Airbnb). First-listed founder in the company-page founders array (Founder/CEO). Not skipped for fame. Membership: https://www.ycombinator.com/companies/airbnb (founders JSON first entry ""full_name"":""Brian Chesky"",""title"":""Founder/CEO""; founder_bio ""Brian Chesky is the co-founder,  Head of Community, and  CEO of Airbnb, which he started with Joe Gebbia and Nathan Blecharczyk in 2008.""). Company on the enumerated list at https://yc-oss.github.io/api/companies/top.json (entry 19, ""Airbnb""). Gender: Wikipedia REST ""American businessman"" / founder_bio ""which he started"". Stopped after entry 19."
p217,Phil Knight,consumer_retail_industrial,Forbes World's Billionaires (self-made),US,M,"Forbes World's Billionaires 2026, rank order from rank 1, selfMade true only. Fashion & Retail. Skipped to reach this row: ranks 1-9 wrong bucket (r3, Technology/finance etc.), 10 Amancio Ortega (r1), 11-26 r3 and/or r4, 27 Zhong Shanshan (r1), 28-31 r3/r4, 32 Tadashi Yanai (r1), 33-62 r3/r4, 63 He Xiangjian (r1), 64-67 r3/r4. Rank 68 is the first unused self-made Fashion & Retail entry. Not skipped for fame. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Phil Knight & family"", rank 68, selfMade true, industries [""Fashion & Retail""], source ""Nike""); profile https://www.forbes.com/profile/phil-knight/ (""Phil Knight, cofounder of shoe giant Nike, retired as chairman in 2016 after 52 years at the company.""; Personal Stats ""Source of Wealth Nike, Self Made""). Gender M from the same JSON gender field."
p218,François Pinault,consumer_retail_industrial,Forbes World's Billionaires (self-made),FR,M,"Forbes World's Billionaires 2026 rank 81, next unused self-made Fashion & Retail after p217. Skipped 69-74 r3/r4, 75 Reinhold Wuerth (r1), 76-80 r3/r4. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""François Pinault & family"", rank 81, selfMade true, industries [""Fashion & Retail""], source ""Luxury goods""); profile https://www.forbes.com/profile/francois-pinault/ (bios ""François Pinault is honorary chairman of luxury group Kering, which owns fashion brands Saint Laurent, Alexander McQueen and Gucci.""). Gender M from JSON gender field. Country FR (career in France / Kering)."
p219,Todd Graves,consumer_retail_industrial,Forbes World's Billionaires (self-made),US,M,"Forbes World's Billionaires 2026 rank 115, next unused self-made Food & Beverage after p218. Skipped 82-85 r3/r4, 86 Aliko Dangote (r1), 87-112 r3/r4, 113 Diane Hendricks (r1), 114 r3. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Todd Graves"", rank 115, selfMade true, industries [""Food & Beverage""], source ""Fast food""); profile https://www.forbes.com/profile/todd-graves/ (bios ""Todd Graves founded fried chicken finger fast-food chain Raising Cane's.""). Gender M from JSON gender field."
p220,Ernest Garcia II,consumer_retail_industrial,Forbes World's Billionaires (self-made),US,M,"Forbes World's Billionaires 2026 rank 116, next unused self-made Automotive/retail entry (used cars / Carvana), same rank slot as Wang Chuanfu. Automotive was previously admitted to this bucket (p117 Wang Chuanfu). Skipped no one between 115 and 116. Membership: https://www.forbes.com/forbesapi/person/billionaires/2026/position/true.json (personName ""Ernest Garcia, II."", rank 116, selfMade true, industries [""Automotive""], source ""Used cars""); profile https://www.forbes.com/profile/ernest-garcia-ii/ (bios ""Ernest Garcia, II is the biggest shareholder of Carvana, an online platform for selling used cars and making auto loans that conducted an IPO in 2017.""). Gender M from JSON gender field. Stopped at rank 116 for this bucket."
