person_id,second_pass,evidence
p86,2018,"Meesho rev10: Entrackr (https://entrackr.com/2018/11/meesho-revenue-expenditure-fy18/) FY18 below: ""The Vivek Aatrey led company clocked Rs 6.01 crore in revenue in FY18, a 5X jump from Rs 1.21 crore in FY17."" FY2018 (year ended March 2018, predominantly calendar 2017) Rs 6.01 crore = INR 60,100,000 / 65.129 USD/INR (Fed G.5 annual avg 2017) = USD 922,785; 2017 rev10 nominal bar (python3 -m src.cpi 2017) = $7,613,770 constant 2026. Inc42 (https://inc42.com/buzz/what-the-financials-meeshos-losses-surge-3x-in-fy20-as-social-commerce-competition-heats-up/) FY19 above: ""Meesho recorded a revenue of INR 341.6 Cr in FY20, ending March 31, 2020, representing a 4X spike from the INR 84.8 Cr revenue in 2019."" FY2019 (predominantly calendar 2018) Rs 84.8 crore = INR 848,000,000 / 68.389 USD/INR (Fed G.5 annual avg 2018) = USD 12,399,655; 2018 rev10 nominal bar = $7,799,735 constant 2026."
p90,unknown,"Auth0 rev10: Bessemer memo (https://www.bvp.com/memos/auth0) June 2014 below: ""Auth0 is currently doing $5K in self-serve MRR and $5K in enterprise/direct MRR"" (= USD 120,000 annualized MRR); 2014 rev10 nominal bar (python3 -m src.cpi 2014) = $7,513,392 constant 2026. Auth0 Series C press release (https://auth0.com/blog/cloud-identity-leader-auth0-adds-30-million-series-c/) June 2017 growth only: ""revenue increase by nearly 3x year-over-year"" with no absolute dollar total disclosed. Auth0 record-year blog (https://auth0.com/blog/auth0-announces-record-year/) January 2018 likewise states revenue ""by more than 100 percent"" in 2017 without a dollar figure. No sourced calendar-year Auth0 revenue total located above the constant-dollar bar after two searches; growth-rate percentages alone cannot pin the crossing year."
p97,unknown,"Betsie Larkin rev10: roster records no hit entity. Forbes (https://www.forbes.com/sites/cherylrobinson/2022/04/13/how-a-300-thousand-kickstarter-turned-into-a-13-million-series-a-funding-round-for-honeylove/) confirms Honeylove founder and Kickstarter raise (""raised over $300,000 on the first day"") but cites no annual company revenue. CB Insights Honeylove financials (https://www.cbinsights.com/company/honeylove/financials) lists ""0 FY undefined"" revenue on all funding rounds. No RoC/SEC annual revenue figure for any calendar year located after two searches."
p99,unknown,"Chari rev10: LesEco FT-Statista ranking (https://leseco.ma/business/classement-chari-parmi-les-champions-de-la-croissance-en-afrique.html) highest sourced annual figure: ""son chiffre d'affaires passer de 0,15 à 6,13 millions de dollars sur la durée de l'étude"" (2019–2022 FT growth study). USD 6.13M nominal 2022 revenue vs 2022 rev10 nominal bar (python3 -m src.cpi 2022) = $9,090,274 constant 2026 — below threshold. Wamda July 2021 (https://www.wamda.com/2021/07/y-combinator-acquires-7-cent-moroccos-b2b-ecommerce-chari) gives only a forward plan (""plans to end 2021 with a turnover of more than $20 million""), not an audited annual total. No sourced calendar-year Chari revenue above the constant-dollar bar located."
p101,1993,"Jane Campion aud1m (The Piano): Box Office Mojo (https://www.boxofficemojo.com/title/tt0107822/) release: ""Earliest Release Date November 12, 1993 (Domestic)"". SaltyPopcorn (https://www.saltypopcorn.co.uk/movies/the-piano) wide-run cumulative gross: ""$12,790,109"" by the second North American chart week of the original release, and lifetime ""US tickets sold 9.7 Million aprox."" Wikipedia average ticket price table (https://en.wikipedia.org/wiki/Average_ticket_price): ""1993 | $4.14"". USD 12,790,109 / $4.14 = ~3,089,000 admissions, exceeding 1,000,000 during the 1993 domestic theatrical run."
p103,2022,"Alain Aspect prize: Nobel physics press release (https://www.nobelprize.org/prizes/physics/2022/press-release/): ""4 October 2022"" and ""The Royal Swedish Academy of Sciences has decided to award the Nobel Prize in Physics 2022 to Alain Aspect"". Announcement year 2022."
p104,2022,"Carolyn Bertozzi prize: Nobel chemistry press release (https://www.nobelprize.org/prizes/chemistry/2022/press-release/): ""5 October 2022"" and ""The Royal Swedish Academy of Sciences has decided to award the Nobel Prize in Chemistry 2022 to Carolyn R. Bertozzi"". Announcement year 2022."
p105,2025,"Dennis Gaitsgory prize: Breakthrough Prize Foundation (https://breakthroughprize.org/News/91): ""April 5, 2025 – Los Angeles – The Breakthrough Prize Foundation today announced the winners of the 2025 Breakthrough Prizes"" and ""Breakthrough Prize in Mathematics Awarded to Dennis Gaitsgory"". Announcement year 2025 (prize officially designated 2025)."
p107,2023,"Verge Genomics rev10: CB Insights financials (https://www.cbinsights.com/company/verge-genomics/financials): ""Verge Genomics's 2023 revenue was $42M. Verge Genomics's most recent revenue is from 2023."" Prior rounds on same page show ""0 FY undefined"" for 2018–2021. 2023 rev10 nominal bar (python3 -m src.cpi 2023) = $9,464,470 constant 2026; USD 42M exceeds bar. Corroborating revenue event: Verge Alexion collaboration (https://vergelabs.com/resources/news/alexion-collaboration/) Sep 2023: ""Verge will receive up to $42 million, consisting of upfront fee, equity, and near-term payments"" — first disclosed major revenue year."
p109,2019,"Ondrej Bartos fund100 (Credo Stage 3): My Company Polska (https://mycompanypolska.pl/artykul/credo-venturesma-100-mln-dolarow-na-inwestycje-w-polskie-startupy/4166) article dated in 2020 context (""2019 r.""): ""Obecnie, wehikuł inwestuje w ramach swojego trzeciego fundusz (Credo Stage 3, CS3), do którego w listopadzie ub.r. pozyskał 100 mln USD"" and managing partners include ""Ondrej Bartos"". 2019 fund100 nominal bar (python3 -m src.cpi 2019) = $79,410,641 constant 2026; USD 100M fund size exceeds bar. First Credo fund above the constant-dollar threshold where Bartos is a named managing partner."
