person_id,name,hit_entity,bucket,nationality,sex,highest_degree,field_of_study,institution,expertise,basis,source
p01,Sara Blakely,Spanx,consumer_retail_industrial,US,F,Bachelors,Communications,Florida State University,shapewear,researched,https://www.invent.org/inductees/sara-blakely
p02,Katalin Kariko,Breakthrough Prize in Life Sciences,science_research,US,F,PhD,Biochemistry,University of Szeged,mRNA vaccines,researched,https://en.wikipedia.org/wiki/Katalin_Karik%C3%B3
p03,Tadashi Yanai,Fast Retailing,consumer_retail_industrial,JP,M,Bachelors,Economics and Political Science,Waseda University,apparel retail,researched,https://en.wikipedia.org/wiki/Tadashi_Yanai
p04,Gordon Moore,Fairchild Semiconductor,hardware_deeptech,US,M,PhD,Chemistry,California Institute of Technology,semiconductors,researched,https://en.wikipedia.org/wiki/Gordon_Moore
p05,Bong Joon-ho,Memories of Murder,media_creators,KR,M,Bachelors,Sociology,Yonsei University,feature film directing,notes,
p06,Mary Meeker,Institutional Investor All-America Research Team (Internet),investors_finance,US,F,Masters,Finance,Cornell University,internet equity research,researched,https://en.wikipedia.org/wiki/Mary_Meeker
p07,Kevin Systrom,Instagram,software_internet,US,M,Bachelors,Management Science and Engineering,Stanford University,photo sharing,researched,https://en.wikipedia.org/wiki/Kevin_Systrom
p08,Robin Li,Baidu,software_internet,CN,M,Masters,Computer Science,University at Buffalo,web search,researched,https://en.wikipedia.org/wiki/Robin_Li
p09,Daniel Ek,Spotify,software_internet,SE,M,HighSchool,Information Technology,IT-Gymnasiet,music streaming,notes,
p10,Zhang Yin,America Chung Nam,trade_import_logistics,CN,F,unknown,unknown,unknown,recovered-paper export,unknown,
p11,Stephanie Shirley,Freelance Programmers / F International,software_internet,GB,F,Bachelors,unknown,unknown,freelance programming,notes,
p12,Judy Faulkner,Epic Systems,software_internet,US,F,Masters,Computer Sciences,University of Wisconsin–Madison,electronic health records,notes,
p13,Dietmar Hopp,SAP,software_internet,DE,M,Masters,Telecommunications Engineering,TH Karlsruhe,enterprise software,notes,
p14,Kazuhiko Nishi,ASCII,software_internet,JP,M,PhD,unknown,Kogakuin University,personal-computer publishing,notes,
p15,Sandra Kurtzig,ASK Computer Systems,software_internet,US,F,Masters,Aeronautical Engineering,Stanford University,manufacturing software,notes,
p16,Shola Akinlade,Paystack,software_internet,NG,M,Bachelors,Computer Science,Babcock University,payments processing,notes,
p17,Shigenobu Nagamori,Nidec (Nihon Densan),hardware_deeptech,JP,M,Bachelors,Electrical Engineering,Institute of Vocational Training,precision motors,notes,
p18,Morris Chang,TSMC,hardware_deeptech,TW,M,PhD,Electrical Engineering,Stanford University,semiconductor foundries,notes,
p19,Zhou Qunfei,Lens Technology,hardware_deeptech,CN,F,None,unknown,unknown,cover-glass manufacturing,notes,
p20,An Wang,Wang Laboratories,hardware_deeptech,US,M,PhD,Applied Physics,Harvard University,computer systems,notes,
p21,Kiran Mazumdar-Shaw,Biocon,healthcare_biotech,IN,F,Masters,Brewing,Ballarat College / University of Melbourne,industrial enzymes,notes,
p22,Thomas Struengmann,Hexal,healthcare_biotech,DE,M,unknown,unknown,University of Augsburg,generic pharmaceuticals,notes,
