person_id,name,proposed_a2_date,proposed_a2_src,proposed_a2_conf,evidence
p124,Xu Hang,1987,https://www.tsinghua.org.cn/info/1951/18663.htm,high,"Master’s degree, Biomedical Engineering, Department of Electrical Engineering, Tsinghua University. Tsinghua University Alumni Association profile 《徐航：一流医疗设备企业的领军人》 (https://www.tsinghua.org.cn/info/1951/18663.htm) states: “1979年考入清华大学计算机系，1984年进入清华大学电机系生物医学工程专业攻读硕士，1987年毕业。” (entered Tsinghua CS dept 1979; entered the biomedical engineering master’s programme in the EE dept in 1984; graduated 1987). The 1987 master’s is his last completed credential; he co-founded Mindray in 1991."
p115,Yoshikazu Tanaka,1999,https://www.dreamgate.gr.jp/contents/case/interview/35406,high,"Bachelor’s degree, Nihon University Faculty of Law, Department of Political Economy (日本大学法学部政治経済学科). DREAM GATE founder interview profile (https://www.dreamgate.gr.jp/contents/case/interview/35406) states: “1977年、東京都生まれ。日本大学法学部政治経済学科在学中、仲間と共にインターネットサービスの研究を本格的にスタート。1999年に大学を卒業し…” (“graduated from university in 1999”). Corroborated by STARTUP DB officer profile (https://startup-db.com/officers/yG7X9oaTe4emp1qD): “日本大学法学部卒業。1999年ソニーコミュニケーションネットワークに入社。” No further formal credential; he joined Sony Communication Network the same year."
p116,Kosuke Sogo,2010,https://blogs.itmedia.co.jp/kosukesogo/bprofile.html,high,"Bachelor’s degree, Nihon University College of Commerce (日本大学商学部). Sogo’s own author profile on ITmedia Alternative Blog (オルタナティブ・ブロガー 十河 宏輔 プロフィール, https://blogs.itmedia.co.jp/kosukesogo/bprofile.html) states verbatim: 「1987年4月7日生　香川県出身 2010年 日本大学商学部卒業」. Corroborated by the shachomeikan.jp CEO profile (https://shachomeikan.jp/industry_article/2300): 「2010年、サイバーエージェントグループだった株式会社マイクロアドに新卒入社しました」 (joined MicroAd as a new graduate in 2010). No later credential; he founded AdAsia in 2016."
p130,Kirsten Green,unknown,,none,"Sources agree she holds a BA in business economics from UCLA (Wikipedia: “She attended the University of California Los Angeles, where she obtained a degree in business economics”, https://en.wikipedia.org/wiki/Kirsten_Green; Forerunner team page and Forbes repeat the degree) but no source located in this pass states a graduation year. Aggregator career data placing her at Deloitte & Touche from 1993 was not used, since deriving a graduation year from a first-job year would be an inference. Two further attempts (Wikipedia, targeted year-specific web search over Forbes/Generalist/C Magazine profiles) failed; recorded as unknown rather than inferred."
p131,Ann Miura-Ko,2010,https://purl.stanford.edu/nm984rf7823,high,"PhD, Department of Management Science and Engineering, Stanford University. Stanford Digital Repository record for her dissertation (https://purl.stanford.edu/nm984rf7823) gives author “Reiko Ann Miura-Ko”, title “Modeling and mitigation of information technology risks”, and the degree statement “Thesis (Ph. D.)--Stanford University, 2010”; the full text is at https://stacks.stanford.edu/file/druid:nm984rf7823/FInal%20RAM-Ko%20Dissertation-augmented.pdf. The PhD is her last credential (Yale BS in electrical engineering, class of 1998, per Yale’s trustee listing “Ann Miura-Ko, ’98 B.S., Ph.D.”, https://www.yale.edu/board-trustees/current-trustees/ann-miura-ko)."
p111,Bom Kim,2000,https://www.thecrimson.com/article/2006/9/27/grads-launch-alum-magazine-with-sections/,high,"Bachelor’s degree (A.B., government/political science), Harvard College. The Harvard Crimson, “Grads Launch Alum Magazine”, 27 September 2006 (https://www.thecrimson.com/article/2006/9/27/grads-launch-alum-magazine-with-sections/) states: “The magazine was founded by Bom Kim ’00, who now serves as its president” and “Dan Loss ’00” — the Crimson’s ’00 notation is Harvard’s class-year convention, i.e. the class of 2000. Corroborated by Korean Wikipedia / 나무위키 profiles of 김범석 (1978) stating he graduated from Harvard’s politics department in 2000 (https://ko.wikipedia.org/wiki/%EA%B9%80%EB%B2%94%EC%84%9D_(1978%EB%85%84)). He later enrolled at Harvard Business School but dropped out in his second semester (en.wikipedia.org/wiki/Bom_Kim), so the 2000 A.B. is the last credential actually completed."
p97,Betsie Larkin,unknown,,none,"No sourced credential year found. English Wikipedia (https://en.wikipedia.org/wiki/Betsie_Larkin) covers only her EDM vocalist career and contains no education or early-life section at all. A web search surfaced a claim of a ""Bachelor of Science in Mathematics from Boston University"", but it appears only on scraped contact-data aggregators (clay.com dossier, highperformr.ai, rocketreach) with no primary source and no year; Boston University itself publishes nothing naming her. Two genuine attempts made; recorded unknown rather than propagating an unsourced degree or inferring a year."
p108,Laurel Bowden,unknown,,none,"Her credentials are consistently reported as a BSc in electrical engineering from the University of Cape Town and an MBA from INSEAD, but no source gives a year for either. 83North’s own team page (https://www.83north.com/team/laurel-bowden/) carries only an investment-track-record paragraph and omits education entirely. Forbes’ dedicated profile by Kenrick Cai, 8 Dec 2022 (https://www.forbes.com/sites/kenrickcai/2022/12/08/laurel-bowden-midas-europe-vc-83north/) says only ""Bowden graduated with an electrical engineering degree from the University of Cape Town, the country’s top-ranked college"" and ""Fresh out of business school at INSEAD, Bowden found work at GE Capital"" — no year for either, and the earliest dated career point it gives is her 2000 move to Jerusalem Venture Partners. Two genuine attempts this pass; unknown."
p112,James Burkhardt,unknown,,none,"No usable education source. Y Combinator’s Odeko company page (https://www.ycombinator.com/companies/odeko) lists him as ""Founder"" with a LinkedIn link and no bio; startupintros.com/people/james-burkhardt carries funding history but no education field. The only education claim located anywhere is an aggregator assertion that he ""attended The University of Texas at Austin"", with no degree, no year and no primary source. Consistent with the earlier pass (no Wikipedia page for him or Odeko, Crunchbase 403). Two genuine attempts; unknown."
p135,Martua Sitorus,unknown,,none,"All sources agree on the credential but none dates it. CNN Indonesia, ""Martua Sitorus, Tukang Sawit Banyak Duit"", 14 Dec 2021 (https://www.cnnindonesia.com/ekonomi/20211214165940-92-733997/martua-sitorus-tukang-sawit-banyak-duit) states: ""Martua berhasil lulus kuliah dan menyandang gelar sarjana ekonomi dari Universitas HKBP Nommensen, Medan."" — he completed university and holds an economics bachelor’s from HKBP Nommensen University, Medan, with no year attached. Tokoh Indonesia’s directory entry (https://tokoh.id/tokoh/direktori/martua-sitorus/) lists only ""S1 Fakultas Ekonomi Universitas HKBP Nommensen, Medan, Sumatera Utara"", again undated, and gives no SMA year either. Two further genuine attempts this pass on top of the earlier three; unknown."
p137,Josh Reeves,unknown,,none,"Credentials confirmed, no sourced year. BreakLine’s speaker bio (https://breakline.org/josh-reeves/) and Silicon Valley Open Doors (https://www.svod.org/joshua-reeves/) both state he ""holds bachelor’s and master’s degrees in electrical engineering from Stanford University, where he was a Mayfield Fellow and a recipient of the Terman Engineering award"" — neither gives a year; Weekly Silicon Valley likewise says only ""earning both a bachelor’s and a master’s degree"". Stanford STVP’s Mayfield Fellows alumni roster (https://stvp.stanford.edu/mayfield-fellows-program-alumni) places ""Joshua Reeves"" in the 2005 Cohort, which dates the fellowship, not either degree, and the MS came afterwards. An aggregator-only claim of a 2008 MS could not be traced to any primary or institutional source. Two genuine attempts on top of the earlier six; unknown rather than a year inferred from the cohort."
