bucket_order,name,bucket,source_list,country_primary,gender,why_selected
1,Amancio Ortega,consumer_retail_industrial,Forbes World's Billionaires (self-made),ES,M,"Fashion-retail founder: tests rev10 on a vertically integrated clothing chain that stayed private for 26 years before Inditex listed in 2001, so the crossing sits decades before any disclosed figure. Membership: https://www.forbes.com/profile/amancio-ortega/ (""Amancio Ortega is #10 on Forbes' 2026 Billionaires list""; the page describes him as founder of the ""Zara fashion chain, with his ex-wife Rosalia Mera (d. 2013) in 1975"")."
2,Reinhold Wuerth,consumer_retail_industrial,Forbes World's Billionaires (self-made),DE,M,"Industrial-distribution operator: tests the frame's 'the person's own venture' edge, since Forbes files him as self-made but the hit entity is a fastener business he joined as its second employee rather than founded. Membership: https://www.forbes.com/profile/reinhold-wuerth/ (""Reinhold Wuerth & family is #75 on Forbes' 2026 Billionaires list""; ""Wuerth is honorary chairman of the supervisory board of the Wuerth Group, a German hardware manufacturer founded by his father"")."
3,Eddy Lu,consumer_retail_industrial,Y Combinator Top Companies,US,M,"Resale-marketplace cofounder: tests rev10 for a sneaker, apparel and accessories authentication platform that pivoted out of a failed earlier YC company, so the apprenticeship is a prior startup rather than an employer. Membership: https://www.ycombinator.com/companies/goat-group (""founders"":[{...""full_name"":""Eddy Lu"",""title"":""Founder""}]; the page describes GOAT Group as ""the leading platforms for authentic sneakers, apparel and accessories"" operating ""GOAT, Flight Club, Grailed and alias""), entry 10 of the 91-company Y Combinator Top Companies list at https://yc-oss.github.io/api/companies/top.json."
4,Mariya Nurislamova,consumer_retail_industrial,Y Combinator Top Companies,US,F,"Subscription-commerce founder: tests rev10 for a direct-to-consumer fragrance subscription business rather than a software product, and a founder whose venture is her first job of consequence. Membership: https://www.ycombinator.com/companies/scentbird (""founders"":[{...""full_name"":""Mariya Nurislamova"",""title"":""Founder""}]; ""one_liner"":""Scentbird is a luxury fragrance subscription service.""), entry 58 of the 91-company Y Combinator Top Companies list at https://yc-oss.github.io/api/companies/top.json."
5,Jim Ratcliffe,consumer_retail_industrial,Sunday Times Rich List (UK),GB,M,"Industrial-chemicals founder: tests rev10 on a heavy-industry rollup assembled by buying unwanted petrochemical assets in 1998, after a long apprenticeship as an employee engineer and then a private-equity operator -- the opposite shape to the YC consumer rows. Membership: https://en.wikipedia.org/wiki/Sunday_Times_Rich_List_2025 (rank ""07 | £17.046 | Sir Jim Ratcliffe | United Kingdom | Industry (Ineos)""); thetimes.com/sunday-times-rich-list returned only a 1.3KB shell naming nobody during this research pass."
6,Lakshmi Mittal,consumer_retail_industrial,Sunday Times Rich List (UK),IN,M,"Steel-manufacturing founder: tests rev10 for a heavy industrial built from a single Indonesian mill started in 1976, separate from the family firm he trained in, so 'the person's own venture' has to be distinguished from the inherited one. Membership: https://en.wikipedia.org/wiki/Sunday_Times_Rich_List_2025 (rank ""08 | £15.444 | Lakshmi Mittal and family | India | Steel""); thetimes.com/sunday-times-rich-list returned only a 1.3KB shell naming nobody during this research pass."
1,Paul Thomas Anderson,media_creators,Academy Awards,US,M,"Writer-director: tests aud1m for a filmmaker whose first feature landed in 1996 and whose Academy recognition arrived thirty years later, so the audience threshold and the prize are far apart. Membership: https://en.wikipedia.org/wiki/98th_Academy_Awards (Best Picture: ""One Battle After Another - Adam Somner (posth.), Sara Murphy, and Paul Thomas Anderson, producers"" and Best Directing: ""Paul Thomas Anderson - One Battle After Another""); oscars.org/oscars/ceremonies/2026 returned HTTP 403 to a full browser User-Agent during this research pass."
2,SZA,media_creators,Grammy Awards,US,F,"Recording artist: tests aud1m for a singer-songwriter whose own catalog crossed a million listeners years before the ceremony that put her on this list, sampled off the 68th Grammys' first published category. Her Record of the Year credit is shared with Kendrick Lamar (p52), but his recorded hit is a different work. Membership: https://www.grammy.com/awards/68th-annual-grammy-awards-2025/ (Record Of The Year, Winner: ""luther / Kendrick Lamar, SZA"")."
3,Billie Eilish,media_creators,Grammy Awards,US,F,"Recording artist and songwriter: tests aud1m for a creator whose audience arrived through a self-released bedroom track while she was still a teenager, decades ahead of the typical roster career. Membership: https://www.grammy.com/awards/68th-annual-grammy-awards-2025/ (Song Of The Year, Winner: ""WILDFLOWER / Billie Eilish, Finneas O'Connell -- Billie Eilish O'Connell & Finneas O'Connell, songwriters"")."
4,Bess Wohl,media_creators,Pulitzer Prize,US,F,"Playwright: tests aud1m in theatre, where a million-person audience accumulates across productions rather than landing at once, sampled off the 2026 Pulitzer books-drama-music table immediately after the Fiction winner already in the study. Membership: https://www.pulitzer.org/prize-winners-by-year/2026 (Drama winner: ""Liberation, by Bess Wohl"")."
5,Jill Lepore,media_creators,Pulitzer Prize,US,F,"Historian and staff writer: tests aud1m for a nonfiction author whose audience is built through magazine journalism alongside books, a different distribution path from the novelists and filmmakers in this bucket. Membership: https://www.pulitzer.org/prize-winners-by-year/2026 (History winner: ""We the People: A History of the U.S. Constitution, by Jill Lepore (Liveright)"")."
