bucket_order,name,bucket,source_list,country_primary,gender,why_selected
1,Ken Olsen,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"Pre-1995 hardware founder: left MIT Lincoln Laboratory to cofound Digital Equipment Corporation in 1957 and built the minicomputer business, so the row tests a long employment apprenticeship in front of the venture and a rev10 crossing in the late 1950s/early 1960s that predates any modern trade press. Membership: https://computerhistory.org/profile/ken-olsen/ (""1996 Fellow ... For his introduction of the minicomputer as cofounder Digital Equipment Corporation"")"
2,Steve Wozniak,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"Household-name hardware founder taken because the list's year order put him next, not skipped for fame (docs/BIASES.md 24): an engineer at Hewlett-Packard who designed the Apple I, giving a short employment-to-venture gap and a very fast rev10 crossing in the late 1970s. Membership: https://computerhistory.org/profile/steve-wozniak/ (""1998 Fellow ... For co-founding Apple Computer and inventing the Apple I personal computer."")"
3,Gene Amdahl,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"Pre-1995 corporate-scientist-turned-founder: roughly two decades as an IBM computer architect (System/360) before leaving in 1970 to start his own IBM-compatible mainframe maker, Amdahl Corporation, so the row tests a very late first venture and a mid-1970s rev10 crossing on machines sold a handful at a time. Membership: https://computerhistory.org/profile/gene-myron-amdahl/ (""1998 Fellow ... For his fundamental work in computer architecture and design, project management, and leadership"")"
4,Konrad Zuse,hardware_deeptech,Computer History Museum Fellow Awards,DE,M,"Earliest-era recruit in the sample and a German-language sourcing test: built the first program-controlled digital computers in Berlin from the late 1930s, then commercialised them through his own firm Zuse KG from 1949. Expect a bounded rather than pinned crossing, since a 1950s West German computer maker published no revenue. Membership: https://computerhistory.org/profile/konrad-zuse/ (""1999 Fellow ... For his invention of the first program-controlled, electromechanical, digital computer and the first high-level programming language, 'Plankalkul'"")"
5,Carver Mead,hardware_deeptech,Computer History Museum Fellow Awards,US,M,"Academic-founder hybrid: a Caltech professor who taught and codified VLSI design and then cofounded a string of chip companies (Silicon Compilers, Synaptics, Foveon), so the row stresses which venture counts as the hit entity when the person's primary employment never left the university. Membership: https://computerhistory.org/profile/carver-mead/ (""2002 Fellow ... For his contributions in pioneering the automation, methodology and teaching of integrated circuit design"")"
6,Stephen Lake,hardware_deeptech,Y Combinator Top Companies,CA,M,"First hardware entry in the YC Top Companies order (position 35, after 34 software/fintech/marketplace entries): straight from a Waterloo mechatronics degree into founding a wearable-computing hardware company, so the row tests a near-zero education-to-venture gap on a physical product with a long manufacturing ramp, and probably an acq50 rather than a rev10 crossing. Membership: https://yc-oss.github.io/api/companies/top.json (entry 35, ""North"", one-liner ""Wearable computing hardware: biosignal gesture recognition""; ""Founded in 2012 by three graduates of the University of Waterloo's mechatronics engineering program (Stephen Lake, Matthew Bailey, Aaron Grant), Thalmic Labs has grown to a world-lead..."")"
7,Aleksandr Konotopskyi,hardware_deeptech,Endeavor Entrepreneur network,UA,M,"Emerging-market hardware manufacturer: builds and manufactures professional security-system hardware in Ukraine, so the row tests whether a physical-goods venture outside the usual US/China axis, operating through a war, leaves a datable revenue crossing at all. Membership: https://endeavor.org/entrepreneurs/ (""Ajax Systems designs and manufactures professional-grade security systems for residential and commercial properties. ... Selected: 2025 ... Entrepreneurs | Aleksandr Konotopskyi | Local Office | Endeavor Ukraine"")"
8,Luca Rossettini,hardware_deeptech,Endeavor Entrepreneur network,IT,M,"Deep-tech space hardware with a long pre-revenue period: PhD-trained founder of a satellite launch, decommissioning and life-extension device maker, so the row stresses a capital-intensive venture where the gap between founding and any $10M year is likely a decade or more. Membership: https://endeavor.org/entrepreneurs/?_paged=4 (""D-Orbit is a satellite technology provider for the traditional and new space sectors. It develops and supplies launching, decommissioning, and life extension devices ... Selected: 2016 ... Entrepreneurs | Renato Panesi | Luca Rossettini | Local Office | Endeavor Italy"")"
1,Gautam Adani,trade_import_logistics,Forbes World's Billionaires (self-made),IN,M,"Highest-ranked unused self-made trader on the 2025 Billionaires list (rank 28) and a rare case in this bucket where both anchor paths exist: the hit entity is the 1988 commodities trading house that became Adani Exports, a listed company whose import/export revenue was published from the mid-1990s, while Mundra Port gives a third-party rank1 fallback via Indian Ports Association cargo-throughput tables. Tests a pre-1995 emerging-market trading career that later diversified. Membership: https://www.forbes.com/forbesapi/person/billionaires/2025/position/true.json (entry at rank 28: personName 'Gautam Adani', source 'Infrastructure, commodities', countryOfCitizenship 'India', selfMade true; the profile at https://www.forbes.com/profile/gautam-adani/ adds 'Adani grew his company, which began in 1988 as a commodities trading firm')"
2,Fred Smith,trade_import_logistics,Forbes World's Billionaires (self-made),US,M,"Next self-made Logistics entry in rank order whose hit entity is unused (rank 605), and the bucket's cleanest rev10 test: an express-freight carrier founded in 1971 that published audited revenue from its first years, so unlike the private importers that made this bucket 100% excluded in the pilot, the crossing should pin to an exact year in the mid-1970s. Also a pre-1995 US counterweight to the bucket's emerging-market skew. Membership: https://www.forbes.com/forbesapi/person/billionaires/2025/position/true.json (entry at rank 605: personName 'Fred Smith', source 'FedEx', industries ['Logistics'], countryOfCitizenship 'United States', selfMade true)"
